"fk_stat","fk_pvalue","lev_stat","lev_pvalue","factor","response"
2.525,0.1120902,2.648,0.1038726,"disturb_year","rs"
3.839,0.0500771,3.789,0.0517357,"site","rs"
17.506,0.0005562,5.914,0.0005166,"interaction(disturb_year, site)","rs"
211.87,0,246.324,0,"disturb_year","rc"
141.259,0,150.596,0,"site","rc"
190.698,0,70.074,0,"interaction(disturb_year, site)","rc"
63.887,0,66.297,0,"disturb_year","rt"
125.051,0,131.947,0,"site","rt"
12.277,0.0064919,4.056,0.0069509,"interaction(disturb_year, site)","rt"
130.059,0,146.91,0,"disturb_year","rrs"
99.795,0,105.562,0,"site","rrs"
140.782,0,50.692,0,"interaction(disturb_year, site)","rrs"
