"var","disturb_year","n","M.Huber","ci","Letter"
"rc","2005",912,1.1197,"(1.1131,1.1262)","a"
"rc","2012",912,1.0571,"(1.0537,1.0604)","b"
"rt","2005",912,0.8584,"(0.8535,0.8633)","a"
"rt","2012",912,0.9431,"(0.9396,0.9466)","b"
"rs","2005",912,0.9585,"(0.9553,0.9617)","a"
"rs","2012",912,0.9947,"(0.9913,0.998)","b"
"rrs","2005",912,0.0999,"(0.0948,0.1051)","a"
"rrs","2012",912,0.0533,"(0.0502,0.0563)","b"
