"fk_stat","fk_pvalue","lev_stat","lev_pvalue","factor","response"
0.286125920254615,0.592713895105294,0.249293778785461,0.617633070197399,"disturb_year","logrs"
4.65320418103042,0.0309956388198687,4.63112404800422,0.0315280107643033,"site","logrs"
18.8140903210401,0.000298694813190112,6.27229474131524,0.000311567858685564,"interaction(disturb_year, site)","logrs"
181.357508855469,2.44921593359223e-41,208.686499769678,7.25317852509556e-45,"disturb_year","logrc"
127.839024197194,1.21726113186951e-29,136.167691769361,2.14630141676694e-30,"site","logrc"
165.222974300236,1.36731112261689e-35,60.4843858493019,2.84352554717342e-37,"interaction(disturb_year, site)","logrc"
181.357508855469,2.44921593359223e-41,208.686499769678,7.25317852509556e-45,"disturb_year","logrt"
127.839024197194,1.21726113186951e-29,136.167691769361,2.14630141676694e-30,"site","logrt"
165.222974300236,1.36731112261689e-35,60.4843858493019,2.84352554717342e-37,"interaction(disturb_year, site)","logrt"
2.25961948370712,0.132786684917216,2.94378863154265,0.0864014209608792,"disturb_year","logrrs"
19.9491506876672,7.95292746211982e-06,16.680473649939,4.64153115176124e-05,"site","logrrs"
116.169509453888,5.15571637231535e-25,32.4545088250676,2.30817863205049e-20,"interaction(disturb_year, site)","logrrs"
