"site","statistic","p_value","var"
"N",0.9768,0,"rc"
"S",0.98887,0,"rc"
"N",0.99091,1e-05,"rt"
"S",0.9981,0.43411,"rt"
"N",0.99007,1e-05,"rs"
"S",0.99681,0.0752,"rs"
"N",0.99424,0.00113,"rrs"
"S",0.99053,2e-05,"rrs"
