"disturb_year","n","M.Huber","lower.ci","upper.ci","var","Letter","MonoLetter"
"2005",912,1.11965564121345,1.11311998193082,1.12619130049608,"rc","a","a "
"2012",912,1.05705996852314,1.05372611139273,1.06039382565354,"rc","b"," b"
"2005",912,0.858366359041008,0.853481280875169,0.863251437206847,"rt","a","a "
"2012",912,0.943081688609882,0.939555466909631,0.946607910310134,"rt","b"," b"
"2005",912,0.9584973134009,0.95528018796076,0.961714438841039,"rs","a","a "
"2012",912,0.99466086080246,0.991273711059769,0.998048010545151,"rs","b"," b"
"2005",912,0.0999281363386681,0.0947858497163128,0.105070422961023,"rrs","a","a "
"2012",912,0.0532644942651889,0.0502179220600273,0.0563110664703506,"rrs","b"," b"
