"var","site","n","M.Huber","ci","Letter"
"rc","N",942,1.1021,"(1.0958,1.1084)","a"
"rc","S",882,1.069,"(1.0652,1.0729)","b"
"rt","N",942,0.8835,"(0.8777,0.8893)","a"
"rt","S",882,0.9207,"(0.9167,0.9246)","b"
"rs","N",942,0.9701,"(0.9666,0.9737)","a"
"rs","S",882,0.983,"(0.9797,0.9864)","b"
"rrs","N",942,0.0866,"(0.0816,0.0917)","a"
"rrs","S",882,0.063,"(0.0596,0.0664)","b"
