"site","n","M.Huber","lower.ci","upper.ci","var","Letter","MonoLetter"
"N",942,1.10212089548066,1.09580370809168,1.10843808286964,"rc","a","a "
"S",882,1.06904171400922,1.06515443625776,1.07292899176068,"rc","b"," b"
"N",942,0.883469024628375,0.877684083617817,0.889253965638932,"rt","a","a "
"S",882,0.920655832106679,0.91666466209716,0.924647002116198,"rt","b"," b"
"N",942,0.970143896439785,0.966626048634853,0.973661744244716,"rs","a","a "
"S",882,0.983031296279965,0.979689276692628,0.986373315867302,"rs","b"," b"
"N",942,0.086619687738194,0.0815740439579969,0.091665331518391,"rrs","a","a "
"S",882,0.0630307517130611,0.0596474275303631,0.066414075895759,"rrs","b"," b"
