"rt","rc","rs","rrs","disturb_year","iv_malla_modi_id"
0.881357868925636,1.06215370969543,0.93613753004862,0.0547796611229834,2005,144160
0.860339394783379,1.05629762695741,0.908774461087656,0.0484350663042775,2005,144161
0.885392488437237,1.03270773833809,0.914351674275555,0.0289591858383184,2005,144836
0.925575584472186,1.00773144331682,0.932731619638966,0.00715603516677929,2005,144837
0.905682405109568,1.01416781547563,0.918513946304686,0.0128315411951182,2005,144838
0.870589307508124,0.966640692036516,0.841547050689245,-0.0290422568188795,2005,144839
0.809358600648517,1.01282027636548,0.819734801587612,0.0103762009390952,2005,144840
0.837076669813289,1.02150064285545,0.85507435633357,0.0179976865202817,2005,144841
0.888627220334378,0.998288014124588,0.887105903084659,-0.00152131724971873,2005,144842
0.912534284790825,0.946718533254286,0.863913119641419,-0.048621165149406,2005,144843
0.90208964824854,1.05939184515976,0.955666416957542,0.053576768709002,2005,145515
0.890840760552672,1.03727469457858,0.924046577820419,0.0332058172677469,2005,145516
0.868877320560746,1.04989333518408,0.912228507949333,0.0433511873885869,2005,145517
0.856584682807352,1.06148169915434,0.909248964575928,0.0526642817685766,2005,145518
0.840823659794333,1.11537945043456,0.937837431573776,0.0970137717794435,2005,145519
0.828985101875278,1.10393245483707,0.915143558536534,0.0861584566612563,2005,145520
0.847546870451121,1.1033632353654,0.935152057104766,0.0876051866536455,2005,145521
0.850333194391165,1.05442484200812,0.896612444150167,0.0462792497590023,2005,145522
0.871663334980663,0.975209009696335,0.850053937695096,-0.0216093972855662,2005,145523
0.923010669533228,1.08488087209368,1.00135662011498,0.0783459505817495,2005,146192
0.873534138602337,1.09157323051531,0.953526481639559,0.0799923430372221,2005,146193
0.892508241949071,1.06174663796931,0.947617625249321,0.0551093833002504,2005,146194
0.835901365808064,1.11478420906455,0.931849642938318,0.0959482771302533,2005,146195
0.810132359067628,1.14994339717003,0.931606357143598,0.12147399807597,2005,146196
0.877720887583332,1.11141460469489,0.975511813305879,0.0977909257225471,2005,146197
0.807539818922283,1.16180490733598,0.938203724493117,0.130663905570834,2005,146198
0.78802695959397,1.14502349394226,0.902309382594981,0.114282423001011,2005,146199
0.834508563169896,1.09685524392024,0.915335093609247,0.080826530439351,2005,146200
0.872396447946997,1.07045659518906,0.933862531324372,0.0614660833773749,2005,146201
0.890641445485948,1.04058217085673,0.926785608798742,0.0361441633127935,2005,146202
0.882177495968009,0.984413344723765,0.868427299445904,-0.0137501965221052,2005,146203
0.946134706938528,1.02783574473036,0.9724710711214,0.0263363641828718,2005,146870
0.901337296657175,1.04360931317832,0.940643997106397,0.0393067004492226,2005,146871
0.89821161808914,1.03793744803162,0.932287474671793,0.034075856582653,2005,146872
0.885584544228506,1.09300739728548,0.967950457763442,0.0823659135349369,2005,146873
0.78528365091213,1.17996445691033,0.926606796669092,0.141323145756962,2005,146874
0.765576236600666,1.23635626950793,0.946524979907522,0.180948743306857,2005,146875
0.76679938994689,1.20419250829584,0.923374080739864,0.156574690792974,2005,146876
0.764474213851402,1.17840198823632,0.900857933557893,0.136383719706491,2005,146877
0.760007279473356,1.18446563273059,0.900202503161261,0.140195223687905,2005,146878
0.821479815231377,1.12759749361418,0.926298580709541,0.104818765478164,2005,146879
0.837807138223697,1.1072792535136,0.927686462600701,0.089879324377004,2005,146880
0.828878924456024,1.11363903166444,0.923071922798272,0.0941929983422477,2005,146881
0.819349376072845,1.13997494045696,0.934037756202092,0.114688380129246,2005,146882
0.865875164592022,1.11385499863326,0.964459380273219,0.0985842156811963,2005,147548
0.883443738512454,1.04220987074114,0.920733784522132,0.037290046009678,2005,147549
0.862507725731459,1.06253532805845,0.916444929313025,0.0539372035815657,2005,147550
0.831827074858028,1.13064201794538,0.940498642499085,0.108671567641057,2005,147551
0.872107425290205,1.09807181564471,0.957636583925648,0.0855291586354437,2005,147552
0.835131196719666,1.16794530607754,0.975387561167654,0.140256364447988,2005,147553
0.725695889795614,1.22272648932803,0.887327587649569,0.161631697853955,2005,147554
0.725236409776749,1.26456555824207,0.917108985386809,0.19187257561006,2005,147555
0.78820637629602,1.17447698773759,0.925730250547713,0.137523874251693,2005,147556
0.813930989654139,1.15785258730352,0.942412102257558,0.128481112603419,2005,147557
0.783987118586161,1.19491327398246,0.936796614629864,0.152809496043703,2005,147558
0.797132800842927,1.19267750419185,0.950722359418801,0.153589558575874,2005,147559
0.797689511181379,1.16830756276007,0.931946688647592,0.134257177466213,2005,147560
0.882391696832549,1.11203637044456,0.981251659856088,0.0988599630235392,2005,147561
0.849502343952772,1.12542266422891,0.956049191200033,0.106546847247261,2005,148227
0.87253827994125,1.06959519295121,0.933262749891076,0.060724469949826,2005,148228
0.818863438033769,1.13080210595868,0.925972500221153,0.107109062187384,2005,148229
0.838566896998526,1.13697822261989,0.953432300097261,0.114865403098735,2005,148230
0.833249414942567,1.13406664246178,0.944960366337163,0.111710951394596,2005,148231
0.868845819687259,1.11444945773443,0.96828475260529,0.0994389329180314,2005,148232
0.765825524273082,1.28538405886251,0.984379920770647,0.218554396497565,2005,148233
0.73180130289188,1.30343829675367,0.953857843803506,0.222056540911627,2005,148234
0.867395090138884,1.15281915958531,0.999949678842333,0.132554588703449,2005,148235
0.857977030257254,1.13790440333104,0.976295840686614,0.11831881042936,2005,148236
0.884540784385236,1.13781296472414,1.00644197230078,0.121901187915549,2005,148237
0.839676379006554,1.14602466241121,0.96228983878565,0.122613459779096,2005,148238
0.847261910112406,1.13370783930714,0.960547469440776,0.11328555932837,2005,148239
