"y","a","nora","sa","iv_malla_modi_id","long","lat","pop"
2000,-0.0271552594107817,-4.82955146839351,-1.62939076684606,144160,-3.2573718,37.1922448,1
2001,0.0195440461447735,3.23856717931507,1.12827420225763,144160,-3.2573718,37.1922448,1
2002,-0.0146903784584013,-2.5625524368875,-0.833712175188103,144160,-3.2573718,37.1922448,1
2003,0.00347599058921838,0.589850289825689,0.193330667892016,144160,-3.2573718,37.1922448,1
2004,0.025370678089218,4.1685627083882,1.50644468090651,144160,-3.2573718,37.1922448,1
2005,-0.032790571910782,-5.88382168680628,-2.04718884389448,144160,-3.2573718,37.1922448,1
2006,-0.010834009410782,-1.87870603390842,-0.608828900488885,144160,-3.2573718,37.1922448,1
2007,-0.0278350213155435,-4.95573323614559,-1.67727510871528,144160,-3.2573718,37.1922448,1
2008,-0.00774604888446589,-1.33691172342168,-0.432844128556284,144160,-3.2573718,37.1922448,1
2009,0.00584960170032889,0.989119498098142,0.326049417190206,144160,-3.2573718,37.1922448,1
2010,0.0100936989225516,1.69602196508806,0.566357679219177,144160,-3.2573718,37.1922448,1
2011,0.0268572405892182,4.40332444528621,1.60858680960466,144160,-3.2573718,37.1922448,1
2012,-0.00510657520025509,-0.877829237591462,-0.284408479172147,144160,-3.2573718,37.1922448,1
2013,0.0224068933669963,3.69748142189623,1.31010155654039,144160,-3.2573718,37.1922448,1
2014,0.008471615589218,1.42689842549984,0.473934942143057,144160,-3.2573718,37.1922448,1
2015,0.000854609010270735,0.145592370489362,0.0474801061045362,144160,-3.2573718,37.1922448,1
2016,0.00323349058921796,0.548899106932897,0.179814700644925,144160,-3.2573718,37.1922448,1
2000,-0.0187812871025602,-3.21316395729912,-0.956506018116824,144161,-3.2547565,37.1922448,1
2001,0.0133614212307734,2.18013274338758,0.671033535872072,144161,-3.2547565,37.1922448,1
2002,-0.00699051329303624,-1.17504538467607,-0.347528118783952,144161,-3.2547565,37.1922448,1
2003,0.00545621289743942,0.900518626818974,0.270850765312095,144161,-3.2547565,37.1922448,1
2004,0.0262371503974397,4.20310312316062,1.37428562631039,144161,-3.2547565,37.1922448,1
2005,-0.0375128496025602,-6.60457435093497,-2.09906019500992,144161,-3.2547565,37.1922448,1
2006,-0.019473370435894,-3.33505209770582,-0.993896420426721,144161,-3.2547565,37.1922448,1
2007,-0.0316911085311313,-5.5295795344804,-1.70703046999021,144161,-3.2547565,37.1922448,1
2008,-0.0137779976288764,-2.33951505965669,-0.692574572008126,144161,-3.2547565,37.1922448,1
2009,0.0148784351196615,2.42236761493671,0.749766525354166,144161,-3.2547565,37.1922448,1
2010,0.0199194073418843,3.2197749668932,1.01812460516648,144161,-3.2547565,37.1922448,1
2011,0.0390687128974394,6.14718225435064,2.21216425090549,144161,-3.2547565,37.1922448,1
2012,0.00444108131849241,0.734061785472053,0.220287786911219,144161,-3.2547565,37.1922448,1
2013,0.0164721851196615,2.67572095084613,0.833404223815861,144161,-3.2547565,37.1922448,1
2014,0.00269746289743977,0.446997573435338,0.13367196198538,144161,-3.2547565,37.1922448,1
2015,-0.0134536555236129,-2.2833319403983,-0.675797971308406,144161,-3.2547565,37.1922448,1
2016,-0.000851287102560216,-0.141802887980213,-0.0421639996421988,144161,-3.2547565,37.1922448,1
2000,-0.0252163918636135,-4.90917448161868,-1.77577854803294,144836,-3.2651274,37.1901615,1
2001,-0.0130259130624444,-2.48389500333999,-0.857233953614178,144836,-3.2651274,37.1901615,1
2002,0.00281606926078787,0.523050847161133,0.181381922104057,144836,-3.2651274,37.1901615,1
2003,0.019020267493112,3.44139363131157,1.28572989776435,144836,-3.2651274,37.1901615,1
2004,0.00644397781057232,1.18981680251257,0.416880871667287,144836,-3.2651274,37.1901615,1
2005,-0.0242825102846662,-4.71979315122501,-1.69784582910632,144836,-3.2651274,37.1901615,1
2006,-0.0233203575068879,-4.5253121392776,-1.6192364052023,144836,-3.2651274,37.1901615,1
2007,-0.0224762602846662,-4.35522073273984,-1.55158139481583,144836,-3.2651274,37.1901615,1
2008,-0.00149778806244444,-0.280176840729758,-0.0964006191918482,144836,-3.2651274,37.1901615,1
2009,0.0112116303403338,2.0541613184539,0.733466872961691,144836,-3.2651274,37.1901615,1
2010,0.00917373971533419,1.68634074696906,0.596827873332042,144836,-3.2651274,37.1901615,1
2011,0.0189892002416499,3.43594295640316,1.28341257699496,144836,-3.2651274,37.1901615,1
2012,0.00991818415977835,1.82098769139363,0.646481407568617,144836,-3.2651274,37.1901615,1
2013,0.0140362397153339,2.55998805581878,0.927174297924646,144836,-3.2651274,37.1901615,1
2014,0.0135987397153343,2.48194240539927,0.89679190929842,144836,-3.2651274,37.1901615,1
2015,0.0115556147153338,2.11600840914513,0.756766575686938,144836,-3.2651274,37.1901615,1
2016,-0.00694444210284784,-1.31081421365543,-0.449653220522293,144836,-3.2651274,37.1901615,1
2000,-0.0250767044847242,-4.41345340333059,-1.28416594670017,144837,-3.2625122,37.1901615,1
2001,0.000521112975592819,0.0882084968577935,0.0254045053656491,144837,-3.2625122,37.1901615,1
2002,-0.0252371527170483,-4.4427989798764,-1.29324163011045,144837,-3.2625122,37.1901615,1
2003,0.00567051773749783,0.952519565648323,0.277099948923355,144837,-3.2625122,37.1901615,1
2004,0.0147788510708313,2.44944746501468,0.732488284586206,144837,-3.2625122,37.1901615,1
2005,-0.0248169822625024,-4.36598184729139,-1.26951296509257,144837,-3.2625122,37.1901615,1
2006,-0.0354923112098712,-6.34927821467088,-1.91992203708067,144837,-3.2625122,37.1901615,1
2007,-0.0265979346434543,-4.69227190197736,-1.3709627060428,144837,-3.2625122,37.1901615,1
2008,-0.00566246837361323,-0.967417393983831,-0.27670471139122,144837,-3.2625122,37.1901615,1
2009,0.00468301773749769,0.787794792693004,0.228668919607825,144837,-3.2625122,37.1901615,1
2010,0.0226455177374975,3.71058148840633,1.14875268145702,144837,-3.2625122,37.1901615,1
2011,0.0424038510708313,6.75511542296797,2.41632677084041,144837,-3.2625122,37.1901615,1
2012,0.00738857329305304,1.23796191892155,0.361664206538068,144837,-3.2625122,37.1901615,1
2013,0.0198744239874976,3.26962328766286,0.998726402010187,144837,-3.2625122,37.1901615,1
2014,0.00675045194802448,1.13211215516678,0.330204852852181,144837,-3.2625122,37.1901615,1
2015,0.00966953089539224,1.61469338029238,0.474705515872348,144837,-3.2625122,37.1901615,1
2016,0.00849770523749765,1.42146712470569,0.416507267000883,144837,-3.2625122,37.1901615,1
2000,-0.0283033150881467,-5.09762487245345,-1.50115687594316,144838,-3.2598971,37.1901615,1
2001,0.00706865911820276,1.20535879094325,0.352283508161838,144838,-3.2598971,37.1901615,1
2002,-0.0164054615527929,-2.89990735671533,-0.831936973688211,144838,-3.2598971,37.1901615,1
2003,0.00421925435629777,0.722571665235741,0.209751579697326,144838,-3.2598971,37.1901615,1
2004,0.014197528165822,2.39529250049352,0.716077513349525,144838,-3.2598971,37.1901615,1
2005,-0.0284643765960828,-5.12794570227538,-1.51091894289915,144838,-3.2598971,37.1901615,1
2006,-0.0285863377489655,-5.15091597868813,-1.51832690512905,144838,-3.2598971,37.1901615,1
2007,-0.0326384837389406,-5.9191985387748,-1.77291669840786,144838,-3.2598971,37.1901615,1
2008,-0.0122772734214803,-2.15630542069127,-0.616728867936568,144838,-3.2598971,37.1901615,1
2009,0.0039005043562978,0.668305781735168,0.193866677671799,144838,-3.2598971,37.1901615,1
2010,0.0241817543562982,4.02000190672856,1.2587512131493,144838,-3.2598971,37.1901615,1
2011,0.0318105738007425,5.22970391840219,1.71947264148205,144838,-3.2598971,37.1901615,1
2012,0.00624564324518706,1.06633729665778,0.311001108324257,144838,-3.2598971,37.1901615,1
2013,0.025892301231298,4.29359213607287,1.35771361915389,144838,-3.2598971,37.1901615,1
2014,0.00519557014577215,0.888460641690572,0.258471389193371,144838,-3.2598971,37.1901615,1
2015,0.00686201751419258,1.17048586165288,0.34190834517472,144838,-3.2598971,37.1901615,1
2016,0.0171014418562979,2.87279868264655,0.868867056102873,144838,-3.2598971,37.1901615,1
2000,-0.0286019697891123,-5.28973315803887,-1.25751653700351,144839,-3.2572819,37.1901615,1
