"var","window_size","r2"
"rt","2-3","0.955450926921608"
"rt","2-4","0.92620704211355"
"rt","3-4","0.974850886801899"
"rc","2-3","0.899941896683591"
"rc","2-4","0.828482285426833"
"rc","3-4","0.965180230447147"
"rs","2-3","0.827515756641927"
"rs","2-4","0.665045903961248"
"rs","3-4","0.875479466269448"
"rrs","2-3","0.883383651631435"
"rrs","2-4","0.796729859540512"
"rrs","3-4","0.957632365854058"
